Season,Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO,y
2007,Oliver Perez,Mets,15,10,3.56,29,0,0,177,765,153,90,70,22,79,1,7,6,174,0
2011,Jaime Garcia,Cardinals,13,7,3.56,32,2,2,194.2,826,207,100,77,15,50,2,2,12,156,0
2014,Tim Hudson,Giants,9,13,3.57,31,1,0,189.1,789,199,86,75,15,34,3,7,2,120,0
2014,Aaron Harang,Braves,12,12,3.57,33,0,0,204.1,876,215,88,81,15,71,4,1,9,161,0
2010,Chad Billingsley,Dodgers,12,11,3.57,31,1,1,191.2,817,176,82,76,8,69,7,10,4,171,0
2010,Wandy Rodriguez,Astros,11,12,3.6,32,0,0,195,822,183,95,78,16,68,3,9,8,178,0
2013,Cole Hamels,Phillies,8,14,3.6,33,1,0,220,905,205,94,88,21,50,5,9,4,202,0
2015,Dan Haren,- - -,11,9,3.6,32,0,0,187.1,768,174,79,75,31,38,2,8,5,132,0
2012,Aaron Harang,Dodgers,10,10,3.61,31,0,0,179.2,786,167,85,72,14,85,10,4,4,131,0
2008,Ricky Nolasco,Marlins,15,8,3.61,32,1,1,206.2,849,189,88,83,28,41,6,6,1,185,0
2013,Dillon Gee,Mets,12,11,3.62,32,2,0,199,841,208,84,80,24,47,0,7,4,142,0
2011,Jhoulys Chacin,Rockies,11,14,3.62,31,2,1,194,827,168,87,78,20,87,1,4,7,150,0
2012,Tim Hudson,Braves,16,7,3.62,28,1,1,179,749,168,77,72,12,48,2,9,3,102,0
2010,Ted Lilly,- - -,10,12,3.62,30,1,1,193.2,785,165,83,78,32,44,4,5,2,166,0
2014,Ian Kennedy,Padres,13,13,3.63,33,0,0,201,846,189,85,81,16,70,4,4,11,207,0
2010,Johnny Cueto,Reds,12,7,3.64,31,1,1,185.2,780,181,79,75,19,56,5,9,5,138,0
2014,Matt Garza,Brewers,8,8,3.64,27,1,1,163.1,680,143,77,66,12,50,2,4,3,126,0
2011,Aaron Harang,Padres,14,7,3.64,28,0,0,170.2,719,175,73,69,20,58,4,3,3,124,0
2017,Carlos Martinez,Cardinals,12,11,3.64,32,2,2,205,858,179,93,83,27,71,3,8,9,217,0
2007,Matt Cain,Giants,7,16,3.65,32,1,0,200,832,173,84,81,14,79,3,5,12,163,0
2009,Ryan Dempster,Cubs,11,9,3.65,31,1,1,200,842,196,94,81,22,65,4,6,11,172,0
2016,Jerad Eickhoff,Phillies,11,14,3.65,33,0,0,197.1,811,187,88,80,30,42,2,8,6,167,0
2010,Livan Hernandez,Nationals,10,12,3.66,33,2,1,211.2,896,216,93,86,16,64,5,4,1,114,0
2011,Paul Maholm,Pirates,6,14,3.66,26,1,1,162.1,687,160,72,66,11,50,6,8,3,97,0
2015,Jordan Zimmermann,Nationals,13,10,3.66,33,0,0,201.2,831,204,89,82,24,39,3,8,2,164,0
2012,Yovani Gallardo,Brewers,16,9,3.66,33,0,0,204,860,185,86,83,26,81,3,0,5,204,0
2011,Anibal Sanchez,Marlins,8,9,3.67,32,3,2,196.1,830,187,85,80,20,64,8,5,4,202,0
2012,Lance Lynn,Cardinals,17,5,3.67,29,0,0,169,710,157,70,69,15,62,3,10,3,174,0
2012,Homer Bailey,Reds,13,10,3.68,33,2,1,208,874,206,97,85,26,52,3,8,3,168,0
2008,Jair Jurrjens,Braves,13,10,3.68,31,0,0,188.1,813,188,87,77,11,70,9,4,3,139,0
2010,Mike Pelfrey,Mets,15,9,3.68,33,0,0,203,865,212,88,83,12,67,5,6,1,113,0
2012,Paul Maholm,- - -,13,11,3.69,31,1,1,188,782,176,80,77,20,53,3,11,5,140,0
2011,Randy Wolf,Brewers,13,10,3.69,33,0,0,212.1,903,214,95,87,23,66,1,13,4,134,0
2011,Javier Vazquez,Marlins,13,11,3.69,32,2,1,192.2,798,178,91,79,21,50,8,2,5,162,0
2015,Brett Anderson,Dodgers,10,9,3.69,31,1,0,180.1,750,194,82,74,18,46,2,2,4,116,0
2011,Joe Saunders,Diamondbacks,12,13,3.69,33,1,0,212,874,210,94,87,29,67,4,3,3,108,0
