Season,Name,Team,WAR,W,ERA,IP,Strikes,L,FIP,HR,BB/9,y
2010,Brett Myers,Astros,3.9,14,3.14,223.2,2212,8,3.56,20,2.66,0
2014,Stephen Strasburg,Nationals,4.5,14,3.14,215,2202,11,2.94,23,1.8,0
2009,Dan Haren,Diamondbacks,5.6,14,3.14,229.1,2283,10,3.23,27,1.49,0
2010,Matt Cain,Giants,4,13,3.14,223.1,2271,11,3.65,22,2.46,0
2012,Cliff Lee,Phillies,5,6,3.16,211,2184,9,3.13,26,1.19,0
2013,Mat Latos,Reds,4.8,14,3.16,210.2,2131,7,3.1,14,2.48,0
2008,Chad Billingsley,Dodgers,4.3,16,3.16,196.1,2042,10,3.38,14,3.62,0
2007,Roy Oswalt,Astros,4.9,14,3.19,211.2,2236,7,3.59,14,2.55,0
2013,Julio Teheran,Braves,2.5,14,3.2,185.2,1923,8,3.69,22,2.18,0
2017,Zack Greinke,Diamondbacks,5.1,17,3.2,202.1,2040,7,3.31,25,2,0
2016,Julio Teheran,Braves,3.2,7,3.21,188,1939,10,3.69,22,1.96,0
2011,Madison Bumgarner,Giants,4.9,13,3.21,204.2,2147,13,2.67,12,2.02,0
2013,Mike Minor,Braves,3.5,13,3.21,204.2,2067,9,3.37,22,2.02,0
2010,Chris Carpenter,Cardinals,3.3,16,3.22,235,2255,9,3.69,21,2.41,0
2011,Tim Hudson,Braves,3.4,16,3.22,215,2022,10,3.39,14,2.34,0
2009,Josh Johnson,Marlins,5.5,15,3.23,209,2117,5,3.06,14,2.5,0
2009,Randy Wolf,Dodgers,3.3,11,3.23,214.1,2177,7,3.96,24,2.44,0
2008,Derek Lowe,Dodgers,4.8,14,3.24,211,1963,11,3.26,14,1.92,0
2008,Edinson Volquez,Reds,4.4,17,3.24,194.1,2051,5,3.54,13,4.26,0
2013,Jordan Zimmermann,Nationals,3.7,19,3.25,213.1,2110,9,3.36,19,1.69,0
2015,Tyson Ross,Padres,4.3,10,3.26,196,1985,12,2.98,9,3.86,0
2011,R.A. Dickey,Mets,2.5,8,3.29,207.2,2090,13,3.78,18,2.34,0
2008,Brandon Webb,Diamondbacks,5.5,22,3.3,226.2,2141,7,3.28,13,2.58,0
2013,A.J. Burnett,Pirates,4.2,10,3.3,191,1961,11,2.8,11,3.16,0
2011,Matt Garza,Cubs,4.9,10,3.32,198,2093,10,2.95,14,2.86,0
2007,Tim Hudson,Braves,4.9,16,3.33,224.1,2033,10,3.46,10,2.13,0
